,EDINETコード,開始日,終了日,報告日,証券コード,企業名,業種,営業利益,流動資産,流動負債,投資その他の資産,固定負債,事業価値,財産価値,株主価値,発行株数,1株価値,株価,株価日時,安全率
85,E00056,,,2022-02-09,1861,株式会社熊谷組,建設業,15244000000.0,290942000000.0,164903000000.0,39318000000.0,26192000000.0,152440000000.0,132376400000.0,258624400000.0,46805660.0,5525.494138956698,2859.0,2022-02-22 09:00:00,1.932666715269919
86,E01651,,,2021-11-11,6347,株式会社プラコー,機械,54767000.0,1804628000.0,546294000.0,93256000.0,404527000.0,547670000.0,1242331200.0,1385474200.0,8997525.0,153.98392335670087,286.0,2022-02-22 15:15:01,0.538405326422031
87,E05411,,,2021-11-12,2418,株式会社ツカダ・グローバルホールディング,サービス業,-7413000000.0,20334000000.0,26292000000.0,20381000000.0,44231000000.0,-74130000000.0,9164600000.0,-109196400000.0,48960000.0,-2230.3186274509803,321.0,2022-02-22 15:10:04,-6.948033107323926
88,E02801,,,2022-01-13,7427,エコートレーディング株式会社,卸売業,277914000.0,30369815000.0,23264091000.0,965669000.0,299970000.0,2779140000.0,3418574800.0,5897744800.0,6036546.0,977.0065199536291,595.0,2022-02-22 09:00:00,1.642027764627948
89,E02729,,,2021-11-10,9889,ＪＢＣＣホールディングス株式会社,情報・通信業,1668000000.0,25151000000.0,12944000000.0,6394000000.0,2284000000.0,16680000000.0,16012200000.0,30408200000.0,17773743.0,1710.8495379954577,1439.0,2022-02-22 15:15:00,1.1889155927696022
90,E31030,,,2021-11-10,60280,テクノプロ・ホールディングス株式会社,サービス業,0.0,53686000000.0,50239000000.0,0.0,0.0,0.0,-6600800000.0,-6600800000.0,108421164.0,-60.88110251242092,0.0,,0.0
91,E32763,,,2022-02-10,7191,株式会社イントラスト,その他金融業,864871000.0,4895040000.0,1534952000.0,603789000.0,95078000.0,8648710000.0,3656886600.0,12210518600.0,22357522.0,546.148119635083,585.0,2022-02-22 10:23:42,0.9335865292907403
92,E33535,,,2021-11-15,1443,技研ホールディングス株式会社,建設業,361136000.0,7606280000.0,3235340000.0,3988220000.0,3320381000.0,3611360000.0,7712092000.0,8003071000.0,16237977.0,492.86133365012154,190.0,2022-02-21 09:00:00,2.594007019211166
93,E03025,,,2022-01-12,8247,株式会社大和,小売業,-370457000.0,6617697000.0,18292592000.0,4221045000.0,6767674000.0,-3704570000.0,-11112368400.0,-21584612400.0,6003400.0,-3595.3980077955825,365.0,2022-02-22 15:15:01,-9.850405500809815
94,E01830,,,2021-11-12,6815,ユニデンホールディングス株式会社,電気機器,516000000.0,18239000000.0,4090000000.0,10877000000.0,5212000000.0,5160000000.0,24208000000.0,24156000000.0,5879501.0,4108.511929838944,3385.0,2022-02-22 13:11:56,1.2137405996569997
95,E02892,,,2022-01-14,7599,株式会社ＩＤＯＭ,卸売業,14760000000.0,130546000000.0,43563000000.0,14448000000.0,82641000000.0,147600000000.0,92718400000.0,157677400000.0,106888000.0,1475.164658333957,652.0,2022-02-22 15:15:01,2.262522482107296
96,E02045,,,2022-02-14,6840,株式会社AKIBAホールディングス,電気機器,470201000.0,7969396000.0,5060957000.0,203100000.0,740630000.0,4702010000.0,2099347600.0,6060727600.0,9192560.0,659.3079185776323,379.0,2022-02-22 15:15:01,1.7395987297562858
97,E01452,,,2022-02-09,3422,株式会社　丸順,金属製品,1968000000.0,21584000000.0,16748000000.0,1266000000.0,7583000000.0,19680000000.0,2752400000.0,14849400000.0,11857200.0,1252.3530007084303,703.0,2022-02-22 15:15:01,1.781440968290797
98,E00794,,,2022-02-14,6137,小池酸素工業株式会社,機械,1049000000.0,31929000000.0,18894000000.0,13046000000.0,6548000000.0,10490000000.0,22302200000.0,26244200000.0,4522933.0,5802.47374878204,2036.0,2022-02-22 15:15:01,2.8499379905609237
99,E34587,,,2022-02-14,4437,gooddaysホールディングス株式会社,情報・通信業,253175000.0,2595553000.0,1035142000.0,509174000.0,300080000.0,2531750000.0,1862556600.0,4094226600.0,3366360.0,1216.2176950771754,1008.0,2022-02-22 15:15:01,1.2065651736876741
100,E00208,,,2021-12-09,9743,株式会社丹青社,サービス業,938394000.0,38265146000.0,16387801000.0,6612059000.0,1036230000.0,9383940000.0,25211843800.0,33559553800.0,48424071.0,693.0345406110114,723.0,2022-02-22 15:15:01,0.9585539980788539
101,E26596,,,2021-11-15,3664,株式会社モブキャストホールディングス,情報・通信業,-268632000.0,1516721000.0,1400446000.0,205215000.0,1080157000.0,-2686320000.0,41400800.0,-3725076200.0,33308308.0,-111.83624818168488,54.0,2022-02-22 15:15:00,-2.0710416329941643
102,E02289,,,2022-02-04,7729,株式会社東京精密,精密機器,19252000000.0,124827000000.0,53955000000.0,9072000000.0,3454000000.0,192520000000.0,69153000000.0,258219000000.0,41857781.0,6168.960557178127,4565.0,2022-02-22 09:00:00,1.3513604725472348
